,instruction,expectation,outcome
1,GOOD,HIGH,0
2,GOOD,,0
3,GOOD,,0
4,,,0
5,,HIGH,0
6,,HIGH,0
7,,HIGH,0
8,,HIGH,0
9,,HIGH,0
10,,HIGH,0
11,,HIGH,0
12,,HIGH,0
13,,HIGH,0
14,,HIGH,0
18,,HIGH,0
19,,LOW,
20,,LOW,
21,,LOW,
22,GOOD,LOW,
23,GOOD,LOW,
24,GOOD,LOW,
25,GOOD,LOW,
26,GOOD,LOW,1
27,GOOD,LOW,1
28,GOOD,LOW,1
29,GOOD,LOW,1
30,GOOD,LOW,1
31,GOOD,LOW,1
32,GOOD,LOW,1
33,GOOD,LOW,1
34,GOOD,LOW,1
35,GOOD,LOW,1
37,SCIENTIFIC,HIGH,1
38,SCIENTIFIC,HIGH,1
39,SCIENTIFIC,HIGH,1
40,SCIENTIFIC,HIGH,1
41,SCIENTIFIC,HIGH,1
42,SCIENTIFIC,HIGH,1
43,SCIENTIFIC,HIGH,1
44,SCIENTIFIC,HIGH,1
45,SCIENTIFIC,HIGH,1
46,SCIENTIFIC,HIGH,1
47,SCIENTIFIC,HIGH,1
48,SCIENTIFIC,HIGH,1
49,SCIENTIFIC,HIGH,
50,SCIENTIFIC,HIGH,0
51,SCIENTIFIC,HIGH,0
52,SCIENTIFIC,,0
53,SCIENTIFIC,,0
54,SCIENTIFIC,,0
55,SCIENTIFIC,,0
56,SCIENTIFIC,,0
57,SCIENTIFIC,,0
58,SCIENTIFIC,,0
59,SCIENTIFIC,,0
60,SCIENTIFIC,,0
61,SCIENTIFIC,,0
62,SCIENTIFIC,,0
63,SCIENTIFIC,,0
64,SCIENTIFIC,,0
65,SCIENTIFIC,,0
66,SCIENTIFIC,LOW,0
67,SCIENTIFIC,LOW,0
73,NONE,HIGH,0
74,NONE,HIGH,0
75,NONE,HIGH,0
76,NONE,HIGH,0
77,NONE,HIGH,0
78,NONE,HIGH,0
79,NONE,HIGH,0
80,NONE,HIGH,0
81,NONE,HIGH,0
82,NONE,HIGH,0
83,NONE,HIGH,0
84,NONE,HIGH,0
85,NONE,HIGH,0
86,NONE,HIGH,0
87,NONE,HIGH,0
88,NONE,HIGH,0
91,NONE,LOW,0
92,NONE,LOW,0
93,NONE,LOW,
94,NONE,LOW,
95,NONE,LOW,
96,NONE,LOW,
97,NONE,LOW,
98,NONE,LOW,
99,NONE,LOW,
100,NONE,LOW,
101,NONE,LOW,
102,NONE,LOW,
103,NONE,LOW,
104,NONE,LOW,
105,NONE,LOW,
106,NONE,LOW,
107,NONE,LOW,
108,NONE,LOW,
